device_make	device_model	_col2
COLORROOM	A5	18
nubia	NX725J	307
HONOR	PGT-N19	366
realme	RMX3474	3145
samsung	SM-G930T	86
vivo	vivo 2015	50
MioTab	MP0101789	59
Wpawa	HT10-PRO	91
DEERTiME	E6_US	263
revoview	AS65U	40
samsung	SM-S127DL	94
Teclast	T50HD	473
incar	TAE10C12	13
DOOGEE	T30 SE	90
QSmart	Ultra	129
incar	Okapi_Tab8_Pro	48
vivo	V2208	262
HMD Global	Nokia C3	34
Ulefone	Armor 7	26
ACER	A62 ULTRA	182
LENOVO	TB322FC	6
LAVA	LAVA LZX407	77
asus	ASUS_I003D	47
Vonino	iMart_Pro	74
samsung	SM-G390F	160
Gigaset	GS190	44
NEC	LAVIE Tab 11QHD2	15
unknown	Phh-Treble with GApps	14
Acer	AS10WF	40
Goldentec	GT_TAB10	39
HIKING	A48	15
onn	100092988A	9
alps	ZQ8003	2
incar	AT11K	5
TCL	9032X_RU	12
HONOR	HEY2-W19	3
INFINIX MOBILITY LIMITED	Infinix X626	2
incar	T40 Pro_ROW	3
Xiaomi	24072PX77C	2
samsung	SM-G990U	4286
realme	RMX3941	21542
DOOGEE	U9 Kid	387
ITEL	itel P10004L	1082
CHOFSLIA	A6	402
HUAWEI	BAC-L03	110
INFINIX	Infinix X6835	3959
samsung	SM-G610M	7155
realme	RMX3624	19237
samsung	SM-A516U	2613
S24 Ultra	S24 Ultra	603
Xiaomi	23028RN4DI	5609
samsung	SM-T970	7700
samsung	SM-F916B	673
vivo	V1732T	15
Sony	F8131	165
Wingtech	REVVL V+ 5G	1394
vivo	I2218	246
OnePlus	CPH2459	329
samsung	SM-M205FN	208
HUAWEI	HWV33	85
SKY Devices	SKY_KIDsPro	141
Positivo	Vision Tab 10	1644
reeder	S23 Pro Max	1846
incar	VANKYO_S7	34
FIGI	Note_11_Pro	102
AIWA	AW-P	162
OnePlus	HD1900	416
H13Pro	H13Pro	57
motorola	moto g96 5G	86
samsung	SM-A125N	516
Galaxy Tab A7 Lite	Galaxy Tab A7 Lite	98
DOOGEE	T10E	133
incar	KE-TB1032OF	10
FOXXD	T8	19
samsung	SM-G977P	18
samsung	SM-X806E	10
G-Tab	S30	41
OnePlus	ONEPLUS A3003	233
Sky_Devices	X8A	10
samsung	SM-G570Y	53
INFINIX MOBILITY LIMITED	Infinix X683B	15
incar	YQ10S	29
Innovatech	F8	21
vivo	V1941A	14
VASOUN	L10-T11	51
incar	1100AS+	3
incar	Star9_3G-Gen2	16
GHIA	GHIA TODDLER	11
DIGMA	Optima 1413D 4G TS1293PL	21
alps	L60	6
Teclast	T40_Pro_W_ROW	103
TCL	5030D_EEA	132
TablePC	M10	8
OMIX	MixTab Pro 2	15
SONY	SOV44	17
Renso	NEP N9	29
incar	KingPad_M10	13
Bmobile	NOVUS65_TG06	10
incar	C-708	4
incar	Oriyomi_Xpro	1
UBX	i6310	1
LENOVO	Lenovo TB-7504F	1
Digit	Digitplay1	1
samsung	SM-T817W	1
X-View	FTB13	277
OPPO	CPH2591	45602
motorola	moto g(9)	354
LENOVO	Lenovo TB-8506X	818
samsung	SM-F916N	438
DIALN PRODUCTS INC	X10G	211
vivo	V2065	1725
vivo	V2036	11153
samsung	SM-G998W	1616
CUBOT	P80	2310
asus	ZE520KL	33
vivo	vivo Y75A	178
HMD Global	HMD Pulse	549
OSCAL	Pad 80 WiFi	427
HUAWEI	RNE-L22	122
Google	brask	10
samsung	SM-A7050	865
Sony	XQ-DC72	428
ZTE	ZR01	425
HMD Global	Nokia 6.2	349
alps	SWOFY M501	111
Multilaser	M10_4G_T3	62
TCL	T614J	57
SWAGTEK	LOGIC L66 PRO	6
Apolosign	EP1095T	44
samsung	SM-J710FN	40
G-Tab	BBoss_1	42
Lingbo	A28	11
OSCAL	ELITE 1	58
KUVA	KUVA Pad	3
Xiaomi	A201XM	23
FUSION5	F104EvII_PRO_EEA	27
helio	helio 90	24
alps	G10	128
Trident	A43	15
DOOGEE	V30	33
Vonino	Magnet_G50	57
vivo	V2104	114
TS-M105D	TS-M105D	32
EGOPAD	CK100	18
P31	P31	1
Gigaset	E940-2849-01	14
NUU	S6501L	7
HMD Global	Nokia 8 Sirocco	7
TG40	TG40	8
Welcome	M33	16
SSmooth	Vision	4
TEM	SQ788Extreme	1
KRONO	NET ALPHA	2
FiGi	Note_1_Pro	2
samsung	SM-F936U	3580
Xiaomi	M2103K19PY	2998
HONOR	VNE-LX3	9431
Xiaomi	21061119DG	14356
samsung	SM-G990B2	23331
motorola	moto g 5G	1370
vivo	V2154	2160
OnePlus	AC2001	7935
HUAWEI	BLA-AL00	139
Xiaomi	2311DRN14I	10980
HUAWEI	BAH3-W59	693
motorola	motorola edge 30 neo	6003
ACE France	BUZZ 6 Pro	78
AOSP	AUW900	360
TECNO MOBILE LIMITED	TECNO CG7n	414
UMIDIGI	MT11	372
Simbans Limited	PicassoTab X11	68
AoGo	MID-1015T	55
Sparx	Sparx Neo 9i	152
Xiaomi	24129PN74G	1071
Teclast	M50	1074
Tinno	Celero3 5G	184
incar	T618	278
ZULEISY	E8A	62
weelikeit	C19W_EEA	54
asus	ASUSAI2501H	21
incar	YQ10S_MAX	318
PRITOM	M901	3
samsung	SM-J710FQ	258
coolpad	CP12p	277
BENEVE	IT_701A	134
vivo	V2403A	61
Sony	SO-53D	179
OnePlus	IN2013	804
samsung	SM-A166L	175
DIGMA	Digma Pro PRIME 18 MS1001PL	107
Hisense	Hisense H30 Lite	58
incar	M1	45
Symphony	Z30	15
DOOGEE	S35T	71
Fortune Ship	Wildfire E5 Plus	18
rockchip	rk3288	4
Wings Mobile	W7	10
meizu	MEIZU 20 Pro	20
hena	JR_J7	20
WIKO	W-V851-EEA	3
incar	Silverstone-T10X	4
vivo	VIVO Y33S	23
TECNO	TECNO CA6	3
HDC	S11	13
ALLVIEW	H1003_LTE_PRO3	2
Lingbo	L16 Pro	2
incar	CP81	1
FACETEL	Q7_EEA	2
Hisense	Hisense Rock 5	1
incar	KT107	1
samsung	SM-G781B	37986
OPPO	CPH2363	22785
TECNO	TECNO KJ6	20394
HONOR	AGM-W09HN	2392
realme	RMX3951	4213
FCNT	FCG02	2668
OPPO	CPH2293	2562
TECNO	TECNO CI6n	5278
SSH Telecom SMC (Pvt.) Ltd	NEW 15 Pro	63
INFINIX MOBILITY LIMITED	Infinix X6511B	1374
TECNO	TECNO KI7s	223
LENOVO	Lenovo TB-J616X	2386
HENA	H19	2095
General Mobile	G318	110
realme	RMX2117	1862
HONOR	HEY3-W00	1481
motorola	motorola edge	304
HUAWEI	SHT-AL09	188
samsung	SM-T865N	212
acer	ACTABKID	904
DEXP	C38	187
samsung	SCG23	33
CUBOT	NOTE 50	281
vivo	I2206	552
vivo	V2410	60
Anbernic	RG556	8
realme	RMX3311	315
samsung	SM-M426B	490
ACEPAD	A130-2024	89
INOI	A180_Plus	88
A10 Pro	A10 Pro	660
DOOGEE	T36	57
ZTE	ZTE Blade A35 Core	108
US717U_TC	US717U_TC	60
realme	RMX2081	89
incar	T30 Pro	14
Symphony	Z30 pro	42
GADNIC	TABI0003	27
DEXP	M170	8
Xiaomi	Redmi 9	27
LEXIBOOK	TLN10FR	1
MODIO	M19	40
General Mobile	GM 5 Plus	1
samsung	SM-T866N	6
incar	A16	2
samsung	SM-G903W	3
OnePlus	IN2010	3
HONOR	VER-N49DP	3
samsung	SM-J327U	2
LFE	Q70	3
Cherry_Mobile	Pulse	2
hena	JR_J10	8
Smart	E1	1
samsung	SM-A556E	103581
HUAWEI	AGS2-W09	3417
vivo	V2310	26559
HUAWEI	CLT-L09	3288
Xiaomi	2201116TG	26330
Blackview	Tab 12 Pro	926
OPPO	CPH2263	4108
Xiaomi	24094RAD4I	6021
vivo	V2307	16838
samsung	SM-G950U	4099
nubia	Focus 5G	308
Casper	VIA L50	884
vivo	V2146	7502
Skyth	L80-EEA	46
HONOR	ROD-W09	30
ITEL	itel S662LCN	327
realme	RMX3357	309
TOPSAND	N8_Plus	65
Moorechip	Retroid Pocket 5	29
AIWA	AWPP86AW	5
S25	S25	266
OSCAL	Pad 13	331
incar	AT73K	13
NEC	LAVIE T8 8HD1	146
General Mobile	GM 8	71
Infinix	Infinix NOTE 3 Pro	9
HOTWAV	TAB R7	373
TECNO	TECNO KG5q	187
TCL	9296G_EEA	569
BMAX	I11_Power_LTE	37
CUBOT	KINGKONG MINI 3	151
Blackview	Tab A7 Kids	373
vivo	V2254A	157
Xiaomi	MI MAX	76
bq	Aquaris X	41
unknown	Bastyon.Mobi	22
HUAWEI	PLR-L29	38
iPhone	SM-S9080	13
INFINIX	Infinix X6882B	5
DOOGEE	S88Pro	164
incar	QuartzLITE	99
